d11752080,April 2022,50,The first dinner with family after arrival at Amsterdam,Our family enjoyed a warm dinner at Martine's home after our first arrival at Amsterdam. The food was amazing and the wine was good too. We will book Martine of Martine's Table when we visit Amsterdam again.
d11752080,December 2021,50,Excellent Dining Experience,"Excellent Amsterdam dining experience! Highly recommend especially if you want to eat good food with a local chef in their home with other diners. The hosts were affable, great conversationalists and the meal was excellent, which included several courses with choices, dessert, beverages including wines&apéritifs. 4 couples & hosts couple made a great dinner for 10. Late posting this experience took place April 2019"
d11752080,August 2022,50,A Very Special Evening,"We enjoyed an excellent meal, interesting conversations, great wine selections, a special treat of Genever, as well as some fascinating personal stories that Olav and Martine shared with us. If you are visiting Amsterdam and want a personal experience in a lovely home with fantastic food, then this is not to be missed. Highly recommend."
d11752080,August 2022,50,One of the highlights of our trip!,"What a wonderful evening we recently spent with Martine and Olav! They were so welcoming and did a wonderful job hosting us in their home, alternating between cooking and conversing with us. We learned so many interesting things about Amsterdam as well as personal stories from Martine and Olav. We were even lucky enough to hear some of their music. We enjoyed great food and conversation. The evening was definitely one of the highlights of our trip! Many thanks to Martine and Olav for hosting us and creating such a special experience!"
d11752080,August 2022,50,Felt like a family dinner with a French chef hosting. Olaf and Martine hosted our group of six (3 couples).,"After a Baltic cruise we (3 couples) decided to visit Amsterdam. The highlight was our home cooked meal hosted by Martine and her husband Olaf at their home in Old Amsterdam. Lovely couple who welcomed us warmly. The food (French cuisine) was wonderfully cooked and presented. The conversation was easily flowing as we learned more about them and vice versa.    After eating on the ship and restaurants in Amsterdam, it was fantastic to have a home cooked meal. And to do it in a real Dutch home was the icing on a pretty great cake."
d11752080,August 2022,50,Amazing Dutch Hospitality,"My wife and i were visiting Amsterdam prior to a cruise. as we were here back in 2014, and saw all the typical sites, i was looking for something different and more personnel. Martine, and her husband Olav showed up in trip advisor under a section related to eating at a locals house. that was the something different i was looking for. before i booked, I read the reviews, and started the booking through Trip Advisor. it took me to a webpage Eatwith where i made the reservation and the payment. Martine, then contacted me through the website (Very user friendly). she asked about any food allergies.    We arrived at their home overlooking a very old cannel. we were joined by two other couples. As both Martine, and Olav are chef's they shared the cooking. while the food was amazing, the hosts made the evening. they were both so warm and friendly, with great stories. The 3 hours flew by.    as for the food, one of the best meals i have ever eaten. It started with a toast of an old Dutch liqueur, then came the appetizers, including a mushroom ragout tart, cheese paired with pickled ginger, an amazing deviled egg and a local sausage. This was paired with a nice white wine. Then came a wonderful salad with shredded smoked mackerel. The main course, was a ground up pork sausage wrapped in bacon, with two types of mashed potatoes. one was made with bacon bits, and endive. the other with carrots, and grilled onions. both were so good, we all asked for the recipe. this was paired with a nice red wine. desert was a French toast made with a special local bread. It included, a homemade berry compote, and a special yogurt.    In addition to the Dutch meal, they also have a French meal option.    As a side, Olav is a local tour guide. we hired him for a wonderful localized tour in the AM. lots of insite that you don't usually get."
d11752080,August 2022,50,Amsterdam Dinner and birthday celebration,Martine and Ulav provided a wonderful dinner experience that will not be forgotten. The simple but delectable fare started with a selection of appetizers paired with a lovely white wine and then advanced to a wonderful meal and dessert. The laughter was contagious and the sharing of music afterward made us feel at home... This is definitely a treat when in Amsterdam that I hope to experience again and would strongly recommend!!
d11752080,July 2022,50,Wonderful,"Great dinner, with wonderful hosts. The food was the best dinner we had on our three days in Amsterdam. We were four adults and there were two others who added to our great conversation at the table."
d11752080,July 2022,50,Pure joy!,"We had an amazing evening with Martine and Olav! Such great hosts and interesting persons! We spent few hours in a relaxing, cozy and friendly atmosphere. Telling stories and listening to them while enjoying absolutely fantastic dishes."
d11752080,July 2022,50,A wonderful delight,What a wonderful experience! Both the food and the company were beyond compare. We joined two additional couples along with Martine and Olav and enjoyed pleasant conversation re: culture and personal views about several issues. One couple was from the US and the other from Denmark. It was interesting to see how close in thoughts we were :-). It was a great experience meeting new people and making new friends!
d11752080,July 2022,50,A Special Amsterdam Dinner,What a wonderful evening at Martine’s Table. Olaf and Martine made us very welcome in their home. The food was delicious and the presentation exquisite. We shared the table with another couple along with Martine and Olaf. Great conversation in a relaxing atmosphere. Highly recommend for a different eating out experience.
d11752080,June 2022,50,Wonderful start to my Vacation,This was a truly wonderful experience. Not only did Martine and Olav present a gourmet meal with wine they also led a wonderful discussion of their experiences. They discussed how they came to live where they do and what other things they had tried doing before running a restaurant for many years. They tried retiring before deciding to invite a small number of people to eat at their home once or twice a week. They discussed what the others in our small group of people might be interested in doing during their visit or anything that someone wanted to discuss.    Remember to check their site for when your chance may come to join them for an evening of food and discussion.    Extremely reasonable price for everything.
d11752080,June 2022,50,A Memorable Experience,"We had a lovely dinner with Martine & Olav last week. The dinner was delicious and the conversation was enlightening. I learned more about Amsterdam, the people, and the attractions of the city. Martine took pictures and sent them to us. I love the pictures and it is absolutely a memorable experience. It was so nice of Martine to accompany us back to the hotel. I enjoyed the conversation and time together with both. Nancy Biddle"
d11752080,June 2022,50,A great night meeting new people and eating delicious food!,Thank you for the wonderful experience Martine and Olav! My mom and I had a wonderful time meeting new people and learning about Martine and Olav’s life as well. They put so much love and care into what they serve and we were so thankful to be a part of such a fun and unique experience. Highly recommend!
d11752080,June 2022,50,A fabulous evening,"Great food, great company. An excellent evening had by all. Martine and Olav were perfect hosts and made us feel very welcome. Fascinating insights into Amsterdam from a couple who have lived there for forty years."
